A	N	T1/2	Nu	spin(halfs)
38	 98	2.8E-09	0.7614	4
38	 99	0.269	-0.2615	3
39	83	0.000171	2.16	7
39	85	17640	6.25	9
39	86	52200	0	-8
39	87	45720	6.067	9
39	88	1.4E-14	4.875	16
39	89	0	-0.13741543	-1
39	90	230760	-1.6308	-4
39	91	5054400	0.16418	-1
40	 86	#VALUE!	0	#VALUE!
40	 88	1.32E-15	-1.812	16
40	 89	282240	-1.082	9
40	 90	0.8	6.2513	-10
40	 91	0	-1.303622	5
40	 92	0.00000485	-0.061	4
40	 94	0.0000073	-0.5212	4
40	 95	5529600	1.132	5
40	 97	0.000000102	1.3714	7
40	 99	1.07E-09	0.426	3
40	 100	6.1E-10	0.5212	4
41	 89	7200	6.2165	9
41	 90	52560	4.9614	16
41	 91	0.00000001	9.1413	-13
41	 92	876960	0	4
41	 93	0	6.17053	9
41	 95	3041280	6.1415	9
41	 96	84240	4.9764	12
41	 97	4326	6.1535	9
42	 88	#VALUE!	0	#VALUE!
42	 89	9.5E-09	8.34	21
42	 90	0.000016	5.514	-10
42	 91	0.000000047	8.818	21
42	 92	0.00000019	11.305	16
42	 93	24660	0	21
42	 94	0.0000029	0	4
42	 95	0	-0.91421	5
42	 96	0.0000037	0	4
42	 97	0	-0.93351	5
42	 98	0.0000035	0.74	4
42	 99	237240	0.3753	1
42	 100	0.0000103	0.74	4
42	 102	1.1E-10	0.8414	4
42	 104	9E-10	0.42	4
42	 107	0.000000245	0	#VALUE!
43	 92	3.2E-09	8.93	-22
43	 93	9900	6.326	9
43	 94	17580	5.125	14
43	 95	72000	5.946	9
43	 96	369792	5.095	14
43	 99	#VALUE!	5.68474	9
43	 108	0.0000001	0	
44	 93	2.4E-15	8.972	21
44	 94	0.000000065	8.125	12
44	 95	5904	0.8617	5
44	 96	0.0000027	0	4
44	 97	248832	0	5
44	 98	0.0000059	0.86	4
44	 99	0	-0.6415	5
44	 100	0.000012	1.0213	4
44	 101	0	-0.7196	5
44	 102	0.000018	0.746	4
44	 103	3404160	0.2063	3
44	 104	0.000058	0.821	4
44	 105	15984	0	3
44	 109	0.00000078	0	
45	 95	0.000000019	10.93	-17
45	 99	16920	5.626	9
45	 100	0.000000215	4.3248	4
45	 101	374976	5.436	9
45	 102	17798400	0.54	-4
45	 103	0	-0.88402	-1
45	 104	0.000000047	2.006	-12
45	 105	127440	4.415	7
45	 106	29.8	2.5757	2
46	 96	2.22E-15	10.976	16
46	 101	30600	0	5
46	 102	0.0000113	0.828	4
46	 103	0.000000025	-1.056	-11
46	 104	0.0000097	0.928	4
46	 105	0	-0.6423	5
46	 108	0.000023	0.726	4
46	 110	0.000046	0.626	4
47	 101	684	5.74	9
47	 102	780	4.67	10
47	 103	3960	4.475	7
47	 104	4140	3.9178	10
47	 105	3568320	0.10141	-1
47	 106	1440	2.92	2
47	 107	0	-0.113572	-1
47	 108	144	2.68847	2
47	 109	0	0.130562	-1
47	 110	24.4	2.72718	2
47	 111	643680	-0.1462	-1
47	 112	11304	0.05475	-4
